Date,Price,Open,High,Low,Change %
"Jun 19, 2020",94.215,94.935,94.992,94.089,-0.72%
"Jun 18, 2020",94.899,95.790,95.881,94.689,-0.90%
"Jun 17, 2020",95.762,95.869,95.998,95.359,-0.11%
"Jun 16, 2020",95.864,95.775,96.449,95.680,0.15%
"Jun 15, 2020",95.725,95.298,95.790,94.771,0.40%
"Jun 12, 2020",95.340,95.728,95.959,94.861,-0.40%
"Jun 11, 2020",95.722,96.400,96.534,95.614,-0.67%
"Jun 10, 2020",96.366,96.126,96.968,95.933,0.31%
"Jun 09, 2020",96.069,95.931,96.402,95.391,0.18%
"Jun 08, 2020",95.898,95.802,96.192,95.355,0.23%
"Jun 05, 2020",95.679,95.131,96.322,94.818,0.71%
"Jun 04, 2020",95.008,94.717,95.329,94.251,0.34%
"Jun 03, 2020",94.687,94.251,95.117,94.210,0.48%
"Jun 02, 2020",94.230,94.388,94.891,93.999,-0.09%
"Jun 01, 2020",94.315,93.289,94.507,93.150,1.08%
"May 29, 2020",93.308,93.217,93.698,92.810,0.13%
"May 28, 2020",93.186,93.086,93.417,92.728,0.22%
"May 27, 2020",92.978,93.056,93.432,92.688,-0.04%
"May 26, 2020",93.015,92.506,93.338,92.385,0.62%
"May 25, 2020",92.442,92.480,92.665,92.363,0.02%
"May 22, 2020",92.427,92.450,92.795,92.271,0.02%
"May 21, 2020",92.411,92.479,92.618,92.091,-0.06%
"May 20, 2020",92.466,92.597,92.928,92.346,-0.22%
"May 19, 2020",92.667,92.324,93.017,92.131,0.42%
"May 18, 2020",92.281,91.663,92.625,91.564,0.56%
"May 15, 2020",91.769,92.270,92.599,91.729,-0.56%
"May 14, 2020",92.282,92.179,92.480,91.882,0.13%
"May 13, 2020",92.158,92.026,92.906,91.953,0.19%
"May 12, 2020",91.984,93.646,93.723,91.984,-1.68%
"May 11, 2020",93.551,93.739,94.136,93.160,-0.14%
"May 08, 2020",93.685,93.707,94.248,93.201,0.01%
"May 07, 2020",93.678,93.963,94.383,93.021,-0.23%
"May 06, 2020",93.890,94.153,94.381,93.622,-0.23%
"May 05, 2020",94.105,94.118,94.494,94.018,0.01%
"May 04, 2020",94.099,94.680,94.717,93.794,-0.64%
"May 01, 2020",94.705,94.593,95.261,94.394,0.18%
"Apr 30, 2020",94.537,94.085,94.882,93.438,0.55%
"Apr 29, 2020",94.021,94.510,94.867,93.719,-0.48%
"Apr 28, 2020",94.474,94.768,95.243,94.353,-0.28%
"Apr 27, 2020",94.735,94.338,94.933,94.262,0.45%
"Apr 24, 2020",94.311,93.688,94.460,93.655,0.61%
"Apr 23, 2020",93.739,94.241,94.364,93.533,-0.51%
"Apr 22, 2020",94.216,94.637,94.741,94.029,-0.43%
"Apr 21, 2020",94.619,95.237,95.572,94.235,-0.63%
"Apr 20, 2020",95.215,95.588,95.726,95.064,-0.47%
"Apr 17, 2020",95.667,95.676,96.168,94.819,0.03%
"Apr 16, 2020",95.642,95.808,96.213,95.230,-0.17%
"Apr 15, 2020",95.806,95.900,96.271,95.171,-0.15%
"Apr 14, 2020",95.947,95.418,96.159,95.338,0.62%
"Apr 13, 2020",95.360,94.576,95.715,94.474,0.94%
"Apr 10, 2020",94.472,95.054,95.238,94.480,-0.58%
"Apr 09, 2020",95.025,94.054,95.257,94.020,1.05%
"Apr 08, 2020",94.039,93.338,94.381,93.109,0.87%
"Apr 07, 2020",93.232,92.933,93.724,92.416,0.37%
"Apr 06, 2020",92.891,93.501,93.939,92.799,-0.61%
"Apr 03, 2020",93.465,94.705,94.827,93.059,-1.27%
"Apr 02, 2020",94.669,94.554,95.322,94.349,0.12%
"Apr 01, 2020",94.551,93.644,95.044,92.884,1.07%
"Mar 31, 2020",93.549,93.614,94.042,92.384,-0.06%
"Mar 30, 2020",93.604,93.850,94.155,92.839,-0.43%
"Mar 27, 2020",94.004,91.384,94.238,90.849,2.88%
"Mar 26, 2020",91.375,90.787,91.601,88.872,0.74%
"Mar 25, 2020",90.708,89.822,91.475,88.893,1.03%
"Mar 24, 2020",89.787,88.156,90.131,87.846,1.88%
"Mar 23, 2020",88.134,87.919,89.007,86.957,0.42%
"Mar 20, 2020",87.766,85.904,89.743,85.324,2.19%
"Mar 19, 2020",85.887,86.590,88.255,85.538,-0.78%
"Mar 18, 2020",86.563,89.260,89.899,85.441,-3.00%
"Mar 17, 2020",89.242,90.802,90.983,88.989,-1.68%
"Mar 16, 2020",90.765,90.716,91.964,90.291,0.12%
"Mar 13, 2020",90.652,93.772,93.969,90.584,-3.30%
"Mar 12, 2020",93.744,94.446,95.377,92.751,-0.76%
"Mar 11, 2020",94.458,95.683,95.771,94.342,-1.29%
"Mar 10, 2020",95.694,97.419,97.445,95.512,-1.77%
"Mar 09, 2020",97.420,96.553,97.818,96.435,0.90%
"Mar 06, 2020",96.549,95.220,96.634,95.140,1.32%
"Mar 05, 2020",95.288,94.660,95.334,94.071,0.69%
"Mar 04, 2020",94.633,93.591,94.672,93.402,1.16%
"Mar 03, 2020",93.551,92.939,94.076,92.545,0.67%
"Mar 02, 2020",92.927,92.850,93.475,92.032,-0.07%
"Feb 28, 2020",92.989,92.327,93.296,92.302,0.73%
"Feb 27, 2020",92.314,92.424,92.763,92.044,-0.05%
"Feb 26, 2020",92.356,93.406,93.493,92.306,-1.10%
"Feb 25, 2020",93.382,93.055,93.474,92.829,0.43%
"Feb 24, 2020",92.985,93.160,93.246,92.641,-0.24%
"Feb 21, 2020",93.208,92.353,93.340,92.302,0.98%
"Feb 20, 2020",92.304,92.521,92.694,92.011,-0.20%
"Feb 19, 2020",92.487,93.046,93.124,92.350,-0.58%
"Feb 18, 2020",93.027,92.792,93.419,92.678,0.29%
"Feb 17, 2020",92.759,93.241,93.381,92.720,-0.59%
"Feb 14, 2020",93.314,93.089,93.363,92.891,0.30%
"Feb 13, 2020",93.037,92.416,93.174,92.349,0.70%
"Feb 12, 2020",92.392,92.325,92.699,92.274,0.08%
"Feb 11, 2020",92.315,92.071,92.446,91.851,0.29%
"Feb 10, 2020",92.044,92.237,92.425,91.839,-0.14%
"Feb 07, 2020",92.171,92.093,92.651,92.054,0.10%
"Feb 06, 2020",92.077,92.540,92.651,91.982,-0.49%
"Feb 05, 2020",92.534,92.666,93.102,92.187,-0.12%
"Feb 04, 2020",92.649,92.689,92.951,92.047,-0.02%
"Feb 03, 2020",92.667,94.538,94.538,92.593,-1.86%
"Jan 31, 2020",94.426,93.727,94.524,93.466,0.80%
"Jan 30, 2020",93.674,92.845,93.924,92.778,0.91%
"Jan 29, 2020",92.833,92.759,92.944,92.584,0.10%
"Jan 28, 2020",92.739,93.299,93.360,92.430,-0.55%
"Jan 27, 2020",93.251,93.264,93.679,93.104,-0.01%
"Jan 24, 2020",93.258,93.691,93.965,93.124,-0.44%
"Jan 23, 2020",93.671,93.413,93.744,93.339,0.31%
"Jan 22, 2020",93.386,92.880,93.553,92.765,0.57%
"Jan 21, 2020",92.857,92.445,93.123,92.316,0.49%
"Jan 20, 2020",92.403,92.417,92.498,92.130,-0.06%
"Jan 17, 2020",92.456,92.839,93.206,92.441,-0.35%
"Jan 16, 2020",92.778,92.209,92.854,92.198,0.65%
"Jan 15, 2020",92.178,92.247,92.492,91.983,-0.03%
"Jan 14, 2020",92.205,91.852,92.350,91.764,0.43%
"Jan 13, 2020",91.811,92.638,92.702,91.738,-0.91%
"Jan 10, 2020",92.654,93.047,93.181,92.489,-0.40%
"Jan 09, 2020",93.023,93.671,93.789,92.674,-0.68%
"Jan 08, 2020",93.659,94.297,94.719,93.565,-0.65%
"Jan 07, 2020",94.276,94.638,94.866,94.126,-0.37%
"Jan 06, 2020",94.623,93.840,94.841,93.771,0.76%
"Jan 03, 2020",93.905,93.736,94.150,93.632,0.15%
"Jan 02, 2020",93.769,94.412,94.501,93.576,-0.67%
"Jan 01, 2020",94.398,94.624,94.677,94.284,-0.28%
"Dec 31, 2019",94.660,93.547,94.815,93.411,1.23%
"Dec 30, 2019",93.509,93.317,93.852,93.317,0.10%
"Dec 27, 2019",93.415,92.633,93.710,92.454,0.86%
"Dec 26, 2019",92.620,92.386,92.800,92.318,0.27%
"Dec 25, 2019",92.366,92.279,92.596,92.097,0.12%
"Dec 24, 2019",92.252,92.127,92.423,91.972,0.17%
"Dec 23, 2019",92.096,92.332,92.781,91.945,-0.31%
"Dec 20, 2019",92.379,92.602,93.025,92.221,-0.21%
"Dec 19, 2019",92.571,92.857,93.338,92.368,-0.28%
"Dec 18, 2019",92.827,93.262,93.324,92.674,-0.45%
"Dec 17, 2019",93.248,94.530,94.597,93.068,-1.34%
"Dec 16, 2019",94.516,94.416,95.254,94.392,0.19%
"Dec 13, 2019",94.334,92.923,95.424,92.870,1.58%
"Dec 12, 2019",92.871,93.355,93.547,92.114,-0.43%
"Dec 11, 2019",93.275,93.164,93.466,92.807,0.16%
"Dec 10, 2019",93.130,93.332,93.636,93.086,-0.14%
"Dec 09, 2019",93.263,93.656,93.797,93.244,-0.37%
"Dec 06, 2019",93.610,93.746,93.943,93.357,-0.09%
"Dec 05, 2019",93.699,93.663,94.081,93.457,0.05%
"Dec 04, 2019",93.648,93.212,93.823,93.118,0.49%
"Dec 03, 2019",93.192,92.677,93.371,92.563,0.59%
"Dec 02, 2019",92.647,92.682,92.800,92.347,-0.15%
"Nov 29, 2019",92.789,92.324,92.905,92.270,0.51%
"Nov 28, 2019",92.314,92.075,92.728,92.061,0.27%
"Nov 27, 2019",92.062,91.973,92.096,91.555,0.13%
"Nov 26, 2019",91.939,92.472,92.551,91.797,-0.56%
"Nov 25, 2019",92.459,92.241,92.651,92.011,0.39%
"Nov 22, 2019",92.101,92.665,92.906,91.989,-0.58%
"Nov 21, 2019",92.638,92.721,93.060,92.503,-0.07%
"Nov 20, 2019",92.706,92.833,92.901,92.493,-0.11%
"Nov 19, 2019",92.806,93.198,93.299,92.647,-0.40%
"Nov 18, 2019",93.177,92.468,93.309,92.428,0.83%
"Nov 15, 2019",92.408,92.702,92.746,92.326,-0.30%
"Nov 14, 2019",92.683,92.720,92.807,92.251,-0.01%
"Nov 13, 2019",92.693,92.236,92.756,92.010,0.54%
"Nov 12, 2019",92.194,92.000,92.386,91.742,0.23%
"Nov 11, 2019",91.983,91.177,92.277,91.177,0.95%
"Nov 08, 2019",91.114,91.029,91.453,91.001,0.09%
"Nov 07, 2019",91.029,91.262,91.368,90.729,-0.26%
"Nov 06, 2019",91.263,91.190,91.555,91.077,0.11%
"Nov 05, 2019",91.166,91.204,91.360,90.970,-0.02%
"Nov 04, 2019",91.188,91.591,91.620,91.145,-0.36%
"Nov 01, 2019",91.518,91.848,92.155,91.468,-0.36%
"Oct 31, 2019",91.846,91.557,92.056,91.417,0.34%
"Oct 30, 2019",91.534,91.228,91.589,91.125,0.38%
"Oct 29, 2019",91.187,91.010,91.458,90.727,0.22%
"Oct 28, 2019",90.986,90.827,91.066,90.696,0.22%
"Oct 25, 2019",90.786,91.201,91.315,90.689,-0.44%
"Oct 24, 2019",91.184,91.321,91.878,90.718,-0.17%
"Oct 23, 2019",91.342,91.146,91.437,90.923,0.22%
"Oct 22, 2019",91.144,91.911,92.162,91.072,-0.82%
"Oct 21, 2019",91.898,91.887,92.211,91.524,-0.33%
"Oct 18, 2019",92.198,91.687,92.321,91.338,0.59%
"Oct 17, 2019",91.659,91.574,92.436,90.800,0.13%
"Oct 16, 2019",91.543,91.427,91.929,90.537,0.15%
"Oct 15, 2019",91.407,89.823,91.517,89.772,1.80%
"Oct 14, 2019",89.787,89.545,90.054,89.082,0.11%
"Oct 11, 2019",89.684,88.318,90.189,88.064,1.57%
"Oct 10, 2019",88.299,86.810,88.524,86.721,1.75%
"Oct 09, 2019",86.783,87.020,87.414,86.617,-0.25%
"Oct 08, 2019",86.997,87.243,87.328,86.689,-0.25%
"Oct 07, 2019",87.218,87.299,87.654,87.026,-0.13%
"Oct 04, 2019",87.328,87.602,87.779,87.039,-0.26%
"Oct 03, 2019",87.553,87.554,88.205,87.066,0.06%
"Oct 02, 2019",87.502,87.487,87.740,86.935,0.01%
"Oct 01, 2019",87.496,86.819,87.777,86.734,0.78%
"Sep 30, 2019",86.817,86.648,87.357,86.453,0.23%
"Sep 27, 2019",86.621,87.442,87.561,86.574,-0.92%
"Sep 26, 2019",87.422,87.716,87.916,87.266,-0.25%
"Sep 25, 2019",87.643,88.643,88.716,87.649,-1.09%
"Sep 24, 2019",88.608,87.996,88.720,87.890,0.71%
"Sep 23, 2019",87.980,88.620,88.770,87.911,-0.77%
"Sep 20, 2019",88.662,89.433,89.601,88.439,-0.79%
"Sep 19, 2019",89.370,88.739,89.619,88.624,0.77%
"Sep 18, 2019",88.685,89.377,89.449,88.550,-0.73%
"Sep 17, 2019",89.334,89.024,89.563,88.835,0.45%
"Sep 16, 2019",88.935,88.799,89.412,88.585,0.25%
"Sep 13, 2019",88.713,87.537,88.785,87.427,1.41%
"Sep 12, 2019",87.482,88.218,88.326,87.392,-0.81%
"Sep 11, 2019",88.192,88.755,88.863,88.072,-0.61%
"Sep 10, 2019",88.731,88.624,89.076,88.289,0.17%
"Sep 09, 2019",88.576,88.148,88.813,87.529,0.69%
"Sep 06, 2019",87.969,88.695,88.793,87.965,-0.80%
"Sep 05, 2019",88.677,88.203,88.785,87.724,0.59%
"Sep 04, 2019",88.161,87.166,88.251,87.156,1.10%
"Sep 03, 2019",87.198,86.845,87.446,86.430,0.44%
"Sep 02, 2019",86.817,86.812,87.567,86.590,-0.04%
"Aug 30, 2019",86.856,87.318,87.521,86.733,-0.58%
"Aug 29, 2019",87.364,87.711,88.026,87.251,-0.33%
"Aug 28, 2019",87.655,87.926,88.144,87.315,-0.26%
"Aug 27, 2019",87.880,87.996,88.083,87.487,-0.11%
"Aug 26, 2019",87.980,87.646,88.773,87.632,0.24%
"Aug 23, 2019",87.771,88.122,88.237,87.336,-0.36%
"Aug 22, 2019",88.090,86.642,88.280,86.599,1.70%
"Aug 21, 2019",86.620,87.075,87.133,86.492,-0.49%
"Aug 20, 2019",87.045,86.649,87.293,86.475,0.49%
"Aug 19, 2019",86.619,86.439,86.888,86.335,0.21%
"Aug 16, 2019",86.440,86.789,86.851,86.159,-0.36%
"Aug 15, 2019",86.755,85.972,87.145,85.883,0.94%
"Aug 14, 2019",85.944,86.131,86.311,85.412,-0.18%
"Aug 13, 2019",86.101,86.077,86.490,85.676,0.07%
"Aug 12, 2019",86.039,85.595,86.348,85.357,0.87%
"Aug 09, 2019",85.293,85.392,85.774,85.276,-0.14%
"Aug 08, 2019",85.414,86.381,86.666,85.423,-1.09%
"Aug 07, 2019",86.352,86.455,86.623,85.909,-0.07%
"Aug 06, 2019",86.415,85.998,86.516,85.593,0.53%
"Aug 05, 2019",85.963,84.641,86.226,84.567,1.49%
"Aug 02, 2019",84.701,83.757,84.828,83.449,1.18%
"Aug 01, 2019",83.710,83.715,84.031,83.350,0.00%
"Jul 31, 2019",83.713,83.695,84.336,83.576,0.09%
"Jul 30, 2019",83.640,84.015,84.077,83.309,-0.42%
"Jul 29, 2019",83.992,85.318,85.336,83.958,-1.49%
"Jul 26, 2019",85.261,86.029,86.159,85.250,-0.89%
